MainID,CrossStreetMainID,STREET,FROM,TO,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
1877,2115,MT HOOD ROAD,COREY ROAD,COMMONWEALTH AVENUE,4,08:00:00.0000000,12:00:00.0000000,Odd,0.1388,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1878,2028,MT PLEASANT AVENUE,DUDLEY STREET,DUDLEY STREET,10R,08:00:00.0000000,12:00:00.0000000,Even,0.4093,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1879,754,MT PLEASANT AVENUE,DUDLEY STREET,DUDLEY STREET,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.4093,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1880,2414,MT VERNON STREET,JOY STREET,CHARLES STREET,1H,08:00:00.0000000,12:00:00.0000000,Odd,0.2708,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
1881,2415,MT VERNON STREET,JOY STREET,CHARLES STREET,1H,08:00:00.0000000,12:00:00.0000000,Even,0.2708,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1882,2926,MT VERNON STREET,RIVER STREET,DEAD END,1H,08:00:00.0000000,12:00:00.0000000,Odd,0.1032,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False
1883,2925,MT VERNON STREET,RIVER STREET,DEAD END,1H,08:00:00.0000000,12:00:00.0000000,Even,0.1032,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1884,298,NIRA AVENUE,DAY STREET,GROTTO GLEN ROAD,2,12:00:00.0000000,16:00:00.0000000,Even,0.1233,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1885,919,MT VERNON STREET,DEAD END,LOWNEY WAY,1C,12:00:00.0000000,16:00:00.0000000,Even,0.1309,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1886,2084,MT VERNON STREET,DEAD END,LOWNEY WAY,1C,12:00:00.0000000,16:00:00.0000000,Odd,0.1309,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1887,1036,MULVEY STREET,WALK HILL STREET,MATTAPAN STREET,7,08:00:00.0000000,12:00:00.0000000,Even,0.0517,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1888,2138,MULVEY STREET,WALK HILL STREET,MATTAPAN STREET,7,08:00:00.0000000,12:00:00.0000000,Odd,0.0517,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1889,1518,MUNROE STREET,HUMBOLDT AVENUE,WALNUT AVENUE,10R,12:00:00.0000000,16:00:00.0000000,Even,0.2161,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1890,2295,MUNROE STREET,HUMBOLDT AVENUE,WALNUT AVENUE,10R,12:00:00.0000000,16:00:00.0000000,Odd,0.2161,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1891,487,MURRAY HILL ROAD,WASHINGTON STREET,FLORENCE STREET,2,08:00:00.0000000,12:00:00.0000000,Even,0.1551,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
