code,description,periods,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,restrict_types,permit_no
R7-STP,NO STOPS 4-6 PM EXC SAT-SUN-HOL TAZ,,,16,18,2,1,1,1,1,1,,,,,,
R7-STP-1,NO PARKING 4-6 PM EXC SAT-SUN-HOL,,,16,18,2,1,1,1,1,1,,,,,,
R7-STPB,"NO STOPS 3-6P EXC SAT-SUN-HOL, TAZ",,,15,18,3,1,1,1,1,1,,,,,,
R7-STPD,"NO STOPS 3-7P EXC SAT-SUN-HOL, TAZ",,,15,19,4,1,1,1,1,1,,,,,,
R7-STPX,"NO STOPS 4-7P EXC SAT-SUN-HOL, TAZ",,,16,19,3,1,1,1,1,1,,,,,,
R7-STX,"NO STOPS 10P-5A, TAZ",,,22,24,2,,,,,,,,1,,,
R7-STX,"NO STOPS 10P-5A, TAZ",,,0,5,5,,,,,,,,1,,,
R7-STX-1,"NO STOPS 7A-NOON MONDAYS, TAZ",,,7,12,5,1,,,,,,,,,,
R7-STX-2,NO STOPS,,,0,24,24,,,,,,,,1,,,
R7-STX-3,NO STOPS 7AM-5PM TUES & WED,,,7,17,10,,1,1,,,,,,,,
R7-STX-4,NO STOPS 8AM-4PM,,,8,16,8,,,,,,,,1,,,
R7-STX-5,NO STOPS 7AM-NOON FRIDAYS,,,7,12,5,,,,,1,,,,,,
R7-STX-6,"NO STOPS 7A-3P MON-FRI, TAZ",,,7,15,8,1,1,1,1,1,,,,,,
R7-STX-7,"NO STOPS 8A-5P EXC SUN-HOL, TAZ",,,8,17,9,1,1,1,1,1,1,,,,,
R7-STX-8,NO STOPS 7-11AM MON-SAT,,,7,11,4,1,1,1,1,1,1,,,,,
R7-STX-9,"NO STOPS 7A-NOON WEDNESDAYS ONLY, TAZ",,,7,12,5,,,1,,,,,1,,,
R7-STX-10,NO STOPS 9AM-2PM THURSDAY,,,9,14,5,,1,,,,,,,,,
R7-STX-11,NO STOPS 6-10A EXC SAT-SUN-HOL,,,6,10,4,1,1,1,1,1,,,,,,
R7-STX-12,NO STOPS 6A–6P MON - FRI,,,6,18,12,1,1,1,1,1,,,,,,
R7-STX-13,NO STOPS 6-10AM EXC SUN-HOL,,,6,10,4,1,1,1,1,1,1,,,,,
R7-STX-14,NO STOPS 7AM-NOON TUESDAYS,,,7,12,5,,1,,,,,,,,,
R7-STX-15,"NO STOPS 7A-5P MON-FRI, TAZ",,,7,17,10,1,1,1,1,1,,,,,,
